word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,doc2vec_cluster,umap_x,umap_y
tear,cutting,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2,item,1.0,tear,1,21.84778,-1.3443006
pick,action,action,choose or remove carefully,select small items,pluck gently,pick herbs,,action choose or remove carefully select small items pluck gently,5,action,1.0,pick,1,3.8550334,10.674757
stand,action,action,allow to rest,let sit without movement,pause process,let dough stand,,action allow to rest let sit without movement pause process,5,action,1.0,stand,1,19.20901,0.14614026
scoop,unit,unit,lift with spoon,remove portion,serve rounded amount,scoop ice cream,,unit lift with spoon remove portion serve rounded amount,1,unit,1.0,scoop,1,20.2849,-0.5816174
stuff,mixing,add mixing,fill with mixture,pack ingredients inside,insert filling,stuff peppers,,add mixing fill with mixture pack ingredients inside insert filling,4,mixing,0.746061359591966,stuff,1,13.687571,8.872557
smash,shape change,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,2,shape change,1.0,smash,1,19.312061,0.1724007
sort,decoration,prepare,arrange by type,separate items,organize ingredients,sort beans,,prepare arrange by type separate items organize ingredients,5,sound,0.0,sort,1,-0.17669192,3.3420825
clean,cleaning,clean,remove dirt,wash thoroughly,prepare hygienically,clean vegetables,,clean remove dirt wash thoroughly prepare hygienically,3,sound,0.0,clean,1,7.885412,11.641193
prepare,decoration,prepare,make ready for cooking,complete initial steps,organize ingredients,prepare ingredients,,prepare make ready for cooking complete initial steps organize ingredients,5,sound,0.0,prepare,1,1.1360428,5.581923
squash,shape change,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2,shape change,1.0,squash,1,3.9052236,10.748894
mash,mixing,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4,mixing,1.0,mash,1,13.995123,7.5075154
dash,unit,unit,add small amount,quick light addition,minimal quantity,dash of salt,,unit add small amount quick light addition minimal quantity,1,unit,1.0,dash,1,13.595893,9.071725
crush,shape change,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2,shape change,1.0,crush,1,9.102221,11.541416
drain,reduce water,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,5,liquid leftover,0.408248290463863,drain,1,1.6823149,6.7453966
glaze,coating,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5,coating,1.0,glaze,1,8.734416,11.599172
break,cutting,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2,item,1.0,break,1,2.3645835,7.9249315
chill,cooling,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,3,heat plus cool item,0.6324289162028641,chill,1,13.041431,10.015673
drop,action,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,5,action,1.0,drop,1,4.1690307,11.02657
test,action,action,check doneness,examine readiness,verify cooking result,test cake with toothpick,,action check doneness examine readiness verify cooking result,5,action,1.0,test,1,21.887712,-1.3738998
dice,cutting,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2,item,1.0,dice,1,-1.0486515,2.1894207
lard,decoration,prepare,insert fat into meat,fill with fat,prepare pastry or meat,lard pork roast,,prepare insert fat into meat fill with fat prepare pastry or meat,4,sound,0.0,lard,1,13.972036,8.119696
unwrap,action,action,remove covering,take off packaging,expose food,unwrap chocolate,,action remove covering take off packaging expose food,5,action,1.0,unwrap,1,2.6496813,8.659072
slather,coating,coating,spread thickly,coat generously,apply in large amount,slather butter on bread,,coating spread thickly coat generously apply in large amount,5,coating,1.0,slather,1,4.6756263,11.2738285
rub,action,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5,action,1.0,rub,1,4.521011,11.18942
moist,add water,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5,add water,1.0,moist,1,1.7450082,6.852235
scald,light cooking,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,5,sound,0.0,scald,1,5.4417167,11.531497
steam,water cooking,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,5,water cooking,1.0000000000000002,steam,1,13.053269,9.987353
pack,decoration,prepare,place tightly into container,fill storage,organize food,packed lunch box,,prepare place tightly into container fill storage organize food,5,sound,0.0,pack,1,13.816944,6.417803
mound,shape change,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,2,shape change,1.0,mound,1,11.602263,11.0782
replace,action,action,put back in place,swap items,substitute ingredient,replace lid on pot,,action put back in place swap items substitute ingredient,5,action,1.0,replace,1,5.238508,11.481661
foil,decoration,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,5,sound,0.0,foil,1,13.750894,6.3697658
roast,more cooking,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,5,heat plus cool item,0.3087890209920528,roast,1,4.9884067,11.411527
unfold,shape change,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,5,shape change,1.0,unfold,1,13.879757,8.356047
yield,output,output,produce amount,provide output,result in quantity,dough yields 12 rolls,,output produce amount provide output result in quantity,1,output,1.0,yield,1,22.458965,-1.5045283
smooth,shape change,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2,shape change,1.0,smooth,1,12.822617,10.301841
press,action,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5,action,1.0,press,1,13.835183,6.539586
puree,mixing,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,4,sound,0.0,puree,1,4.847612,11.290445
sprout,item,?,begin growth,produce shoots,vegetable germination,bean sprouts,,? begin growth produce shoots vegetable germination,1,sound,0.0,sprout,1,22.496685,-1.5257074
skin,shape change,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5,shape change,1.0,skin,1,6.3218203,11.674076
whisk,shape change,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,2,shape change,1.0,whisk,1,8.590097,11.580059
hold,action,action,keep at certain temperature,maintain position or state,preserve food,hold soup warm,,action keep at certain temperature maintain position or state preserve food,5,action,1.0,hold,1,12.780879,10.334351
check,action,prepare,inspect or test,verify cooking progress,ensure readiness,check cake for doneness,,prepare inspect or test verify cooking progress ensure readiness,5,sound,0.0,check,1,19.194027,0.13786484
boil,water cooking,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,5,water cooking,1.0000000000000002,boil,1,-0.88114077,2.412543
reserve,action,action,set aside for later,keep portion,save ingredient,reserve some sauce,,action set aside for later keep portion save ingredient,5,action,1.0,reserve,1,9.065819,11.363707
pull,shape change,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5,shape change,1.0,pull,1,3.0071316,9.163331
fill,action,action,add content to container,stuff ingredient,complete portion,fill pastry with cream,,action add content to container stuff ingredient complete portion,5,action,1.0,fill,1,7.7153745,11.55633
start,action,action,begin cooking,initiate process,turn on appliance,start oven preheating,,action begin cooking initiate process turn on appliance,5,action,1.0,start,1,7.809586,11.558497
sprinkle,action,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,5,item,1.0,sprinkle,1,13.864184,7.79617
spread,coating,coating,apply evenly,distribute across surface,coat,spread butter on toast,,coating apply evenly distribute across surface coat,5,coating,1.0,spread,1,1.6861647,6.818881
move,action,action,change position,shift ingredient,transfer to new location,move bowl aside,,action change position shift ingredient transfer to new location,5,action,1.0,move,1,13.9233265,8.314062
minced,cutting,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2,item,1.0,minced,1,1.513881,6.3174887
cream,mixing,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4,mixing,1.0,cream,1,19.087523,0.27152982
combine,mixing,mixing,mix together,bring ingredients into one,blend thoroughly,combine flour and eggs,,mixing mix together bring ingredients into one blend thoroughly,4,mixing,1.0,combine,1,2.472821,8.289406
dump,action,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5,action,1.0,dump,1,13.444953,9.371957
peel,shape change,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5,shape change,1.0,peel,1,12.551076,10.572488
coat,coating,coating,cover with layer,apply outer layer,encase ingredient,coat chicken with breadcrumbs,,coating cover with layer apply outer layer encase ingredient,5,coating,1.0,coat,1,1.2099037,5.7599554
dip,action,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5,action,1.0,dip,1,20.68231,-0.8293577
throw,action,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5,action,1.0,throw,1,1.5979313,6.5534897
season,flavoring,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5,add water,0.5687180842966731,season,1,10.775322,11.267804
zest,action,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5,sound,0.0,zest,1,7.716605,11.693535
mince,cutting,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2,item,1.0,mince,1,11.528431,11.113092
push,action,action,move by applying pressure,press forward,shift ingredient,push dough into pan,,action move by applying pressure press forward shift ingredient,5,action,1.0,push,1,1.3289921,5.997732
chop,cutting,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2,item,1.0,chop,1,-0.80169255,2.4977736
separate,cutting,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2,item,1.0,separate,1,1.4798433,6.272812
butter,coating,apply,apply butter,add fat,spread over surface,butter the pan,,apply apply butter add fat spread over surface,5,sound,0.0,butter,1,2.8188617,8.871724
slice,cutting,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2,item,1.0,slice,1,5.8185434,11.608753
wet,add water,add water,moisten with liquid,add water or other liquid,prevent dryness,wet hands when shaping dough,,add water moisten with liquid add water or other liquid prevent dryness,5,add water,1.0,wet,1,2.6359773,8.526128
sit,action,action,rest without disturbance,allow to stand,pause process,let dough sit for 10 minutes,,action rest without disturbance allow to stand pause process,5,action,1.0,sit,1,18.94712,0.39473918
save,action,action,keep for later,reserve portion,store ingredient,save leftover sauce,,action keep for later reserve portion store ingredient,5,action,1.0,save,1,6.5681496,11.697984
wait,action,action,pause before next step,allow time to pass,delay action,wait for dough to rise,,action pause before next step allow time to pass delay action,5,action,1.0,wait,1,20.494326,-0.7622608
wok,utensils,utensil,shallow pan for stir-frying,round-bottomed pan,high-heat cooking,use wok for stir-fry,,utensil shallow pan for stir-frying round-bottomed pan high-heat cooking,5,sound,0.0,wok,1,19.844248,-0.2826533
open,action,action,uncover or unfold,remove lid,expose ingredients,open jar of sauce,,action uncover or unfold remove lid expose ingredients,5,action,1.0,open,1,1.4712456,6.2989697
stew,light cooking,slow heat cooking,cook slowly in liquid,simmer until tender,moist-heat method,stew beef for 2 hours,,slow heat cooking cook slowly in liquid simmer until tender moist-heat method,5,heat plus cool item,0.3087890209920528,stew,1,8.842686,11.548156
blend,mixing,mix high,mix thoroughly,combine ingredients smoothly,puree together,blend fruits for smoothie,,mix high mix thoroughly combine ingredients smoothly puree together,4,sound,0.0,blend,1,10.791909,11.317337
touch,action,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2,action,1.0,touch,1,-0.65166014,2.6922746
cool,cooling,cool item,lower temperature,allow to reach room temp,chill slightly,cool cake on rack,,cool item lower temperature allow to reach room temp chill slightly,3,heat plus cool item,0.6324289162028641,cool,1,21.80861,-1.3080776
cut,cutting,cut item,divide with knife,slice or chop,shape ingredients,cut vegetables,,cut item divide with knife slice or chop shape ingredients,2,item,1.0,cut,1,3.9203868,10.902595
taste,action,action,sample for flavor,check seasoning,test doneness,taste soup before serving,,action sample for flavor check seasoning test doneness,5,action,1.0,taste,1,13.821014,6.3870454
rest,action,action,let food stand,allow to settle,pause cooking,rest meat after roasting,,action let food stand allow to settle pause cooking,5,action,1.0,rest,1,1.246337,5.866564
pre-heat,light cooking,low heating,heat oven beforehand,warm appliance before use,prepare correct temperature,pre-heat oven to 180°c,,low heating heat oven beforehand warm appliance before use prepare correct temperature,5,sound,0.0,pre-heat,1,22.275133,-1.3895965
cover,action,action,place lid on top,protect from heat or moisture,seal container,cover pot while simmering,,action place lid on top protect from heat or moisture seal container,5,action,1.0,cover,1,20.427944,-0.6362272
stir-fry,more cooking,high heat cooking,cook quickly in hot pan with oil,high-heat method,shake and move ingredients,stir-fry vegetables,,high heat cooking cook quickly in hot pan with oil high-heat method shake and move ingredients,5,heat plus cool item,0.3087890209920528,stir-fry,1,2.3427577,7.9830704
pan-fry,more cooking,high heat cooking,cook in shallow oil,medium-heat cooking,brown surface,pan-fry chicken,,high heat cooking cook in shallow oil medium-heat cooking brown surface,5,heat plus cool item,0.3087890209920528,pan-fry,1,1.0308504,5.211568
turn,action,action,flip or rotate,change side or orientation,move position,turn steak in pan,,action flip or rotate change side or orientation move position,5,action,1.0,turn,1,6.6299295,11.687061
remove,action,action,take away,extract ingredient,discard,remove skin from fish,,action take away extract ingredient discard,5,action,1.0,remove,1,7.3389273,11.663109
warm,light cooking,low heating,increase temperature slightly,heat gently,keep at serving temp,warm soup,,low heating increase temperature slightly heat gently keep at serving temp,5,sound,0.0,warm,1,13.352504,9.53652
top,decoration,prepare,place on upper surface,add finishing layer,decorate,top cake with strawberries,,prepare place on upper surface add finishing layer decorate,5,sound,0.0,top,1,1.6636199,6.805795
heat,light cooking,low heating,increase temperature,cook using warmth,apply energy,heat oil before sautéing,,low heating increase temperature cook using warmth apply energy,5,sound,0.0,heat,1,0.10108897,3.7237344
place,action,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5,action,1.0,place,1,4.3299274,11.140448
stir,mixing,mixing,mix by rotating,move ingredients around,prevent sticking,stir soup,,mixing mix by rotating move ingredients around prevent sticking,4,mixing,1.0,stir,1,2.5110638,8.376448
take,action,action,remove or pick up,carry away,grab ingredient,take pan off heat,,action remove or pick up carry away grab ingredient,5,action,1.0,take,1,9.689496,11.408099
put,action,action,place somewhere,set ingredient down,add to dish,put vegetables in pot,,action place somewhere set ingredient down add to dish,5,action,1.0,put,1,1.1493316,5.5943146
mix,mixing,mixing,combine ingredients,blend thoroughly,stir together,mix flour and sugar,,mixing combine ingredients blend thoroughly stir together,4,mixing,1.0,mix,1,3.1314015,9.317152
set,action,action,allow to firm,let rest until stable,fix shape,set jelly in fridge,,action allow to firm let rest until stable fix shape,5,action,1.0,set,1,2.5641954,8.580276
